iso3,m49_code,un_member_name,m49_name,region,region_code,subregion,subregion_code,intermediate_region,intermediate_region_code
AFG,004,Afghanistan,Afghanistan,Asia,142,Southern Asia,034,,
ALB,008,Albania,Albania,Europe,150,Southern Europe,039,,
DZA,012,Algeria,Algeria,Africa,002,Northern Africa,015,,
AND,020,Andorra,Andorra,Europe,150,Southern Europe,039,,
AGO,024,Angola,Angola,Africa,002,Sub-Saharan Africa,202,Middle Africa,017
ATG,028,Antigua and Barbuda,Antigua and Barbuda,Americas,019,Latin America and the Caribbean,419,Caribbean,029
ARG,032,Argentina,Argentina,Americas,019,Latin America and the Caribbean,419,South America,005
ARM,051,Armenia,Armenia,Asia,142,Western Asia,145,,
AUS,036,Australia,Australia,Oceania,009,Australia and New Zealand,053,,
AUT,040,Austria,Austria,Europe,150,Western Europe,155,,
AZE,031,Azerbaijan,Azerbaijan,Asia,142,Western Asia,145,,
BHS,044,Bahamas (The),Bahamas,Americas,019,Latin America and the Caribbean,419,Caribbean,029
BHR,048,Bahrain,Bahrain,Asia,142,Western Asia,145,,
BGD,050,Bangladesh,Bangladesh,Asia,142,Southern Asia,034,,
BRB,052,Barbados,Barbados,Americas,019,Latin America and the Caribbean,419,Caribbean,029
BLR,112,Belarus,Belarus,Europe,150,Eastern Europe,151,,
BEL,056,Belgium,Belgium,Europe,150,Western Europe,155,,
BLZ,084,Belize,Belize,Americas,019,Latin America and the Caribbean,419,Central America,013
BEN,204,Benin,Benin,Africa,002,Sub-Saharan Africa,202,Western Africa,011
BTN,064,Bhutan,Bhutan,Asia,142,Southern Asia,034,,
BOL,068,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Americas,019,Latin America and the Caribbean,419,South America,005
BIH,070,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,150,Southern Europe,039,,
BWA,072,Botswana,Botswana,Africa,002,Sub-Saharan Africa,202,Southern Africa,018
BRA,076,Brazil,Brazil,Americas,019,Latin America and the Caribbean,419,South America,005
BRN,096,Brunei Darussalam,Brunei Darussalam,Asia,142,South-eastern Asia,035,,
BGR,100,Bulgaria,Bulgaria,Europe,150,Eastern Europe,151,,
BFA,854,Burkina Faso,Burkina Faso,Africa,002,Sub-Saharan Africa,202,Western Africa,011
BDI,108,Burundi,Burundi,Africa,002,Sub-Saharan Africa,202,Eastern Africa,014
CPV,132,Cabo Verde,Cabo Verde,Africa,002,Sub-Saharan Africa,202,Western Africa,011
CMR,120,Cameroon,Cameroon,Africa,002,Sub-Saharan Africa,202,Middle Africa,017
CAN,124,Canada,Canada,Americas,019,Northern America,021,,
CAF,140,Central African Empire,Central African Republic,Africa,002,Sub-Saharan Africa,202,Middle Africa,017
TCD,148,Chad,Chad,Africa,002,Sub-Saharan Africa,202,Middle Africa,017
CHL,152,Chile,Chile,Americas,019,Latin America and the Caribbean,419,South America,005
CHN,156,China,China,Asia,142,Eastern Asia,030,,
COL,170,Colombia,Colombia,Americas,019,Latin America and the Caribbean,419,South America,005
COM,174,Comoros,Comoros,Africa,002,Sub-Saharan Africa,202,Eastern Africa,014
COG,178,Congo,Congo,Africa,002,Sub-Saharan Africa,202,Middle Africa,017
CRI,188,Costa Rica,Costa Rica,Americas,019,Latin America and the Caribbean,419,Central America,013
HRV,191,Croatia,Croatia,Europe,150,Southern Europe,039,,
CUB,192,Cuba,Cuba,Americas,019,Latin America and the Caribbean,419,Caribbean,029
CYP,196,Cyprus,Cyprus,Asia,142,Western Asia,145,,
CZE,203,Czechia,Czechia,Europe,150,Eastern Europe,151,,
CIV,384,Côte d'Ivoire,Côte d’Ivoire,Africa,002,Sub-Saharan Africa,202,Western Africa,011
KHM,116,Democratic Kampuchea,Cambodia,Asia,142,South-eastern Asia,035,,
PRK,408,Democratic People's Republic of Korea,Democratic People's Republic of Korea,Asia,142,Eastern Asia,030,,
COD,180,Democratic Republic of the Congo,Democratic Republic of the Congo,Africa,002,Sub-Saharan Africa,202,Middle Africa,017
DNK,208,Denmark,Denmark,Europe,150,Northern Europe,154,,
DJI,262,Djibouti,Djibouti,Africa,002,Sub-Saharan Africa,202,Eastern Africa,014
DMA,212,Dominica,Dominica,Americas,019,Latin America and the Caribbean,419,Caribbean,029
DOM,214,Dominican Republic,Dominican Republic,Americas,019,Latin America and the Caribbean,419,Caribbean,029
ECU,218,Ecuador,Ecuador,Americas,019,Latin America and the Caribbean,419,South America,005
EGY,818,Egypt,Egypt,Africa,002,Northern Africa,015,,
SLV,222,El Salvador,El Salvador,Americas,019,Latin America and the Caribbean,419,Central America,013
GNQ,226,Equatorial Guinea,Equatorial Guinea,Africa,002,Sub-Saharan Africa,202,Middle Africa,017
ERI,232,Eritrea,Eritrea,Africa,002,Sub-Saharan Africa,202,Eastern Africa,014
EST,233,Estonia,Estonia,Europe,150,Northern Europe,154,,
SWZ,748,Eswatini,Eswatini,Africa,002,Sub-Saharan Africa,202,Southern Africa,018
ETH,231,Ethiopia,Ethiopia,Africa,002,Sub-Saharan Africa,202,Eastern Africa,014
FJI,242,Fiji,Fiji,Oceania,009,Melanesia,054,,
FIN,246,Finland,Finland,Europe,150,Northern Europe,154,,
FRA,250,France,France,Europe,150,Western Europe,155,,
GAB,266,Gabon,Gabon,Africa,002,Sub-Saharan Africa,202,Middle Africa,017
GMB,270,Gambia,Gambia,Africa,002,Sub-Saharan Africa,202,Western Africa,011
GEO,268,Georgia,Georgia,Asia,142,Western Asia,145,,
DEU,276,Germany,Germany,Europe,150,Western Europe,155,,
GHA,288,Ghana,Ghana,Africa,002,Sub-Saharan Africa,202,Western Africa,011
GRC,300,Greece,Greece,Europe,150,Southern Europe,039,,
GRD,308,Grenada,Grenada,Americas,019,Latin America and the Caribbean,419,Caribbean,029
GTM,320,Guatemala,Guatemala,Americas,019,Latin America and the Caribbean,419,Central America,013
GIN,324,Guinea,Guinea,Africa,002,Sub-Saharan Africa,202,Western Africa,011
GNB,624,Guinea-Bissau,Guinea-Bissau,Africa,002,Sub-Saharan Africa,202,Western Africa,011
GUY,328,Guyana,Guyana,Americas,019,Latin America and the Caribbean,419,South America,005
HTI,332,Haiti,Haiti,Americas,019,Latin America and the Caribbean,419,Caribbean,029
HND,340,Honduras,Honduras,Americas,019,Latin America and the Caribbean,419,Central America,013
HUN,348,Hungary,Hungary,Europe,150,Eastern Europe,151,,
ISL,352,Iceland,Iceland,Europe,150,Northern Europe,154,,
IND,356,India,India,Asia,142,Southern Asia,034,,
IDN,360,Indonesia,Indonesia,Asia,142,South-eastern Asia,035,,
IRN,364,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,142,Southern Asia,034,,
IRQ,368,Iraq,Iraq,Asia,142,Western Asia,145,,
